Country ,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
Brunei Darussalam,2018,13566937674,9.215863133,1.348918565,81.58004432,8.7,-516202620.6
Cambodia,2018,24571753583,3.111821367,4051.1669,100.6993825,0.128,-3088669837
Timor-Leste,2018,1566157200,-1.321802318,1,54.18272077,3.69,-47925664.57
Indonesia,2018,1.04E+12,3.818323569,14236.93877,38.81758144,4.39,-12510610514
Lao PDR,2018,18141651381,1.919889194,8401.334766,98.65127796,3.308,-1358019506
Malaysia,2018,3.59E+11,0.624674675,4.035130137,125.0778647,3.3,-2539145749
Myanmar,2018,67855845007,5.34109464,1429.807975,54.5606988,0.77,-1768195523
Philippines,2018,3.47E+11,3.740653831,52.66142995,74.51518725,2.34,-5832900584
Singapore,2018,3.77E+11,3.534650755,1.348841667,118.5630253,3.606,-58349843384
Thailand,2018,5.07E+11,1.428586164,32.31022574,122.8194084,0.77,3380091961
Viet Nam,2018,3.10E+11,3.6266473,22602.05,108.5349052,1.16,-14902000000
China,2018,1.39E+13,3.499747636,6.615957177,195.0358759,4.31,-92338473352
Japan,2018,5.04E+12,-0.000237506,110.4231793,248.1256763,2.47,1.35E+11
"Korea, Rep.",2018,1.73E+12,0.482948983,1100.163333,142.2596611,3.82,26037800000
India,2018,2.70E+12,3.884240279,68.38946709,74.0978246,7.65,-30699661201
Uzbekistan,2018,52870108217,26.92239538,8069.606237,19.58685548,5.379,-622886824.4
Qatar,2018,1.83E+11,12.41440353,3.64,84.51593628,0.11,5709065934
United States,2018,2.05E+13,2.404058593,1,89.3303889,3.9,-3.45E+11
United Kingdom,2018,2.87E+12,1.922052394,0.74953154,148.0237457,4,-3576693950
France,2018,2.79E+12,0.992224566,2450.739405,98.65127796,9.02,61682963435
Russian Federation,2018,1.66E+12,9.997976711,62.66813333,59.11861639,4.85,22592030000
Germany,2018,3.97E+12,2.007492441,2450.739405,98.65127796,3.38,29011101779
Australia,2018,1.43E+12,1.878810435,1.338412146,113.792564,5.3,-59654884661
Hungary,2018,1.61E+11,4.847425392,270.2116667,59.07367602,3.71,-3531634246
Ireland,2018,3.87E+11,1.120032236,2450.739405,98.65127796,5.74,27441629241
Brunei Darussalam,2019,13469235365,-3.334183376,1.364218514,84.71877054,6.6,-373256767.2
Cambodia,2019,27089390033,3.235371767,4061.148963,107.6557313,0.116,-3561195452
Timor-Leste,2019,2027034000,4.874096517,1,38.88754159,3.079,238994863.1
Indonesia,2019,1.12E+12,1.5984885,14147.67136,38.76024384,3.59,-20531070566
Lao PDR,2019,18740559554,1.197423921,8679.409093,98.65127796,3.364,-755524124.2
Malaysia,2019,3.65E+11,0.071826909,4.142469736,122.9070528,3.26,-1626970695
Myanmar,2019,75072038086,5.422933005,1518.255117,56.10760612,0.41,-1735589413
Philippines,2019,3.77E+11,0.697076301,51.79578265,76.59717596,2.24,-5320429168
Singapore,2019,3.77E+11,-0.201648173,1.364158333,123.0468461,3.1,-39191638312
Thailand,2019,5.44E+11,1.014423406,31.04760578,123.3986339,0.72,4644836019
Viet Nam,2019,3.34E+11,2.423226942,23050.24167,112.5232876,1.68,-15635000000
China,2019,1.43E+13,1.286700406,6.90838501,197.8865472,4.56,-50259822365
Japan,2019,5.12E+12,0.634803166,109.0096659,252.7112936,2.35,2.18E+11
"Korea, Rep.",2019,1.65E+12,-0.839325308,1165.3575,151.3958148,3.75,25604700000
India,2019,2.84E+12,2.405517162,70.42034054,76.98188097,6.51,-37469945322
Uzbekistan,2019,60283503705,17.8148511,8836.7875,17.86459047,4.92,-2313130817
Qatar,2019,1.76E+11,-4.455914212,3.64,90.03290792,0.1,7262912088
United States,2019,2.14E+13,1.793930501,1,92.98697951,3.67,-2.01E+11
United Kingdom,2019,2.85E+12,2.115732743,0.78344511,140.670149,3.74,-41289065813
France,2019,2.73E+12,1.278592146,2450.739405,98.65127796,8.41,30864497546
Russian Federation,2019,1.69E+12,3.263132819,64.73765833,58.87829663,4.5,-10051630000
Germany,2019,3.89E+12,2.130309051,2450.739405,98.65127796,3.14,98812746280
Australia,2019,1.39E+12,3.463722736,1.438506544,122.7684464,5.16,-29844985008
Hungary,2019,1.64E+11,4.785025181,290.66,58.14251473,3.42,-215796664.1
Ireland,2019,3.99E+11,3.355411523,2450.739405,98.65127796,4.95,-97444443422
Brunei Darussalam,2020,12005799654,-10.86375964,1.37970343,93.57501836,7.41,-565542275.4
