,Country Name,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
165,Uzbekistan,2014,80845385816.0,14.02491763,2310.948159,18.21130835,5.09,-804245735.8
166,Qatar,2014,206000000000.0,-1.482751063,3.64,67.14445895,0.2,5707967033.0
167,United States,2014,17600000000000.0,1.869891372,1.0,89.49218445,6.17,136000000000.0
168,United Kingdom,2014,3060000000000.0,1.317778214,0.607729627,135.302828,6.11,-173000000000.0
169,France,2014,2860000000000.0,0.576944233,2450.739405212136,98.6512779569836,10.27,47288734074.0
170,Russian Federation,2014,2060000000000.0,7.490071117,38.37820714,54.29533089,5.16,35050840000.0
171,Germany,2014,3890000000000.0,1.877939854,2450.739405212136,98.6512779569836,4.98,87919371869.0
172,Australia,2014,1470000000000.0,1.404893098,1.109363293,108.4670802,6.08,-40637704364.0
173,Hungary,2014,141000000000.0,3.692726095,232.6016667,57.19972533,7.73,-3819551081.0
174,Ireland,2014,260000000000.0,0.182007393,2450.739405212136,98.6512779569836,11.86,-6747671078.0
175,Brunei Darussalam,2015,12930291488.0,-17.61280313,1.374910845,80.80411669,7.683,-171289167.8
176,Cambodia,2015,18049954289.0,1.786112458,4067.75,72.40213415,0.39,-1735043113.0
177,Timor-Leste,2015,1595205100.0,7.202726588,1.0,40.26174014,4.451,-30328700.0
178,Indonesia,2015,861000000000.0,3.98024266,13389.41294,39.46442005,4.51,-10704478317.0
179,Lao PDR,2015,14426381187.0,2.348496007,8127.610598,98.6512779569836,2.496,-1038062947.0
180,Malaysia,2015,301000000000.0,1.218055734,3.905500263,132.8127793,3.1,684808753.5
181,Myanmar,2015,59687411769.0,4.136696739,1162.615329,46.37251015,0.77,-4083839112.0
182,Philippines,2015,306000000000.0,-0.719682789,45.50283994,70.91656388,3.07,-99650560.95
183,Singapore,2015,308000000000.0,3.07195501,1.374825,122.8592629,3.79,-24551342898.0
184,Thailand,2015,401000000000.0,0.722113573,34.24771667,127.7306039,0.6,-3936528344.0
185,Viet Nam,2015,239000000000.0,-1.716511707,21697.5675,96.15775001,1.85,-10700000000.0
186,China,2015,11100000000000.0,-0.002944094,6.227488673,202.1138887,4.65,-68098649765.0
187,Japan,2015,4440000000000.0,2.111298993,121.0440257,233.4079013,3.39,133000000000.0
188,"Korea, Rep.",2015,1470000000000.0,3.185595967,1130.9525,135.5456811,3.55,19583000000.0
189,India,2015,2100000000000.0,2.279588101,64.15194446,78.01191058,7.891,-36495216491.0
190,Uzbekistan,2015,86196264742.0,10.50069952,2567.987213,19.10493727,5.15,-1036625230.0
191,Qatar,2015,162000000000.0,-25.1298075,3.64,88.56012349,0.17,2952472527.0
192,United States,2015,18200000000000.0,1.000541633,1.0,88.98236708,5.28,-209000000000.0
193,United Kingdom,2015,2930000000000.0,0.660990521,0.654545479,134.0908273,5.3,-106000000000.0
194,France,2015,2440000000000.0,1.138248785,2450.739405212136,98.6512779569836,10.35,8404253504.0
195,Russian Federation,2015,1360000000000.0,7.249735907,60.93765011,61.82658261,5.57,15232100000.0
196,Germany,2015,3360000000000.0,1.853678824,2450.739405212136,98.6512779569836,4.62,68388393319.0
197,Australia,2015,1350000000000.0,-0.622921249,1.331090262,113.1862782,6.06,-38634724990.0
198,Hungary,2015,125000000000.0,2.775741908,279.3325,56.71441984,6.81,-2890619219.0
199,Ireland,2015,292000000000.0,8.300141348,2450.739405212136,98.6512779569836,9.91,-47433558093.0
200,Brunei Darussalam,2016,11400466356.0,-9.167861616,1.381346877,92.59695025,8.505,150550827.3
201,Cambodia,2016,20016747858.0,3.475254587,4058.694579,79.17482843,0.72,-2396841375.0
202,Timor-Leste,2016,1652603700.0,0.222525734,1.0,44.4073797,4.66,7188000.0
203,Indonesia,2016,932000000000.0,2.438924087,13308.3268,40.35709044,4.3,-16135916019.0
